Text 1	Text 2	Text 3	Sound 3	Picture 3	Text 4	Sound 4	Category 1	Text 6	Text 5	Extra Info
两百|liǎngbǎi|0	<size 1.7><center>两百</center></size>	<center><font size=6>liǎngbǎi|deux cents</font></center>	4884937aa591a5159720150c53f28d91.m4a				0		两百	<font size=12>两百</font> (liǎngbǎi)||Mots associés :|两　 [liǎng] deux (numéral)|一百 [yìbǎi] cent|百　 [bǎi] cent
个|gè|0	<size 1.7><center>个</center></size>	<font size=5>gè|{spécificatif général}</font>|<font size=4><i>« &#73;&#108;&#115; &#115;&#111;&#110;&#116; &#99;&#104;&#101;&#122; &#117;&#110; &#97;&#109;&#105; &#102;&#114;&#97;&#110;&#231;&#97;&#105;&#115; (&#108;&#105;&#116;&#116;. &#100;&#97;&#110;&#115; &#108;&#97; &#109;&#97;&#105;&#115;&#111;&#110; &#100;'&#117;&#110; &#97;&#109;&#105; &#102;&#114;&#97;&#110;&#231;&#97;&#105;&#115;). »</i></font>	387a209deefe48cb3afb68b8414211e3.m4a		|<font size=9>&#20182;&#20204;&#22312;&#19968;<color yellow>&#20010;</color>&#27861;&#22269;&#26379;&#21451;&#30340;&#23478;&#37324;。</font>	e70ac0dec2366dc70408ec74e2da43ba.m4a	1		个	<font size=12>个</font> (gè)|Mots associés :|十个月 [shígèyuè] dix mois|几个　 [jǐgè] combien (petit nomb…
中|zhōng|0	<size 1.7><center>中</center></size>	<font size=5>zhōng|milieu, centre, moyen</font>|<font size=4><i>« &#73;&#108; &#121; &#97; &#117;&#110; &#115;&#111;&#108;&#101;&#105;&#108; &#101;&#116; &#117;&#110;&#101; &#108;&#117;&#110;&#101; &#97;&#117; &#109;&#105;&#108;&#105;&#101;&#117; &#100;&#117; &#99;&#105;&#101;&#108;. »</i></font>	0ac2a0b82d5088bfd5e979098d142ecc.m4a		|<font size=9>&#22825;&#31354;<color yellow>&#20013;</color>&#26377;&#19968;&#20010;&#22826;&#38451;&#21644;&#19968;&#20010;&#26376;&#20142;。</font>	79b02c67afe7ec4d8f24464329274952.m4a	1		中	<font size=12>中</font> (zhōng)|Mots associés :|中国　 [zhōngguó] la Chine|中国人 [zhōngguórén] un Chinois|中文　 [zhōngwén] la langue chino…
中国|zhōngguó|0	<size 1.7><center>中国</center></size>	<center><font size=6>zhōngguó|la Chine</font></center>	07df4f2f2c8805c532e5fa7c0b57d95d.m4a				0		中国	<font size=12>中国</font> (zhōngguó)||Mots associés :|中国人 [zhōngguórén] un Chinois|中　　 [zhōng] milieu…|中文　 [zhōngwén] la langue chino…|法国人 [fǎguórén] français|德国　 [déguó] Allemagne|法国　 [fǎguó] France|德国人 [déguórén] un Allemand|国　　 [guó] pays|国家　 [guójiā] pays…
中国人|zhōngguórén|0	<size 1.7><center>中国人</center></size>	<center><font size=6>zhōngguórén|un Chinois</font></center>	abdea8783d5b26483a0c8437a3fea9be.m4a				0		中国人	<font size=12>中国人</font> (zhōngguórén)||Mots associés :|中国　 [zhōngguó] la Chine|中　　 [zhōng] milieu…|中文　 [zhōngwén] la langue chino…|法国人 [fǎguórén] français|德国　 [déguó] Allemagne|法国　 [fǎguó] France|德国人 [déguórén] un Allemand|国　　 [guó] pays|国家　 [guójiā] pays…|家人　 [jiārén] membres de la fam…|人　　 [rén] une personne
中文|zhōngwén|0	<size 1.7><center>中文</center></size>	<font size=5>zhōngwén|la langue chinoise</font>|<font size=4><i>« &#67;&#101;&#116;&#116;&#101; &#97;&#110;&#110;&#233;&#101;, &#110;&#111;&#117;&#115; &#233;&#116;&#117;&#100;&#105;&#111;&#110;&#115; &#108;&#101; &#99;&#104;&#105;&#110;&#111;&#105;&#115; &#224; &#108;'&#73;&#83;&#70;&#65;&#84;&#69;&#83;. »</i></font>	e61ad554c972e7978b7df24b34231fc4.m4a		|<font size=9>&#20170;&#24180;&#25105;&#20204;&#22312;&#27861;&#24503;&#23398;&#38498;&#23398;<color yellow>&#20013;&#25991;</color>。</font>	bf3e3e36439e2de5b970865e91a8a8db.m4a	1		中文	<font size=12>中文</font> (zhōngwén)||Mots associés :|中国　 [zhōngguó] la Chine|中国人 [zhōngguórén] un Chinois|中　　 [zhōng] milieu…|文　　 [wén] culture,langue|法文　 [fǎwén] la langue français…|德文　 [déwén] la langue allemand…
九|jiǔ|0	<size 1.7><center>九</center></size>	<font size=5>jiǔ|</font>|<font size=4><i>« 19 &#111;&#99;&#116;&#111;&#98;&#114;&#101; 2015 »</i></font>	5229c4adb511f5d9283621bbd19233ee.m4a	pic-hand9.jpg	|<font size=9>&#20108;&#38646;&#19968;&#20116;&#24180;&#21313;&#26376;&#21313;<color yellow>&#20061;</color>&#26085;</font>	f3965389c1f5148ab6834da37278db0f.m4a	1		九	<font size=12>九</font> (jiǔ)|
也|yě|0	||<center><font size=9>也</font></center>|<font size=4>▸ ...<color gray>|▸ &#110;&#111;&#110; &#112;&#108;&#117;&#115; (&#112;&#104;&#114;&#97;&#115;&#101; &#110;&#233;&#103;&#97;&#116;&#105;&#118;&#101;)|<i>« &#71;&#114;&#97;&#110;&#100; &#102;&#114;&#232;&#114;&#101; &#110;'&#97; &#112;&#97;&#115; &#109;&#97;&#110;&#103;&#233; &#110;&#111;&#110; &#112;&#108;&#117;&#115;. »</i></font></color>	<font size=5>yě|aussi (phrase positive)</font>|<font size=4><i>« &#77;&#111;&#105; &#97;&#117;&#115;&#115;&#105;. »</i></font>	a88aed83181848a47b15b654dd83679a.m4a		|<font size=9>&#25105;<color yellow>&#20063;</color>&#26159;。</font>	3198b54d200fbb509a6546d45cbc2087.m4a	1		也	<font size=12>也</font> (yě)|Mots associés :|也 [yě] non plus (phrase négati…
也|yě|1	||<center><font size=9>也</font></center>|<font size=4>▸ ...<color gray>|▸ &#97;&#117;&#115;&#115;&#105; (&#112;&#104;&#114;&#97;&#115;&#101; &#112;&#111;&#115;&#105;&#116;&#105;&#118;&#101;)|<i>« &#77;&#111;&#105; &#97;&#117;&#115;&#115;&#105;. »</i></font></color>	<font size=5>yě|non plus (phrase négative)</font>|<font size=4><i>« &#71;&#114;&#97;&#110;&#100; &#102;&#114;&#232;&#114;&#101; &#110;'&#97; &#112;&#97;&#115; &#109;&#97;&#110;&#103;&#233; &#110;&#111;&#110; &#112;&#108;&#117;&#115;. »</i></font>	a88aed83181848a47b15b654dd83679a.m4a		|<font size=9>&#21733;&#21733;<color yellow>&#20063;</color>&#27809;&#26377;&#21507;&#39277;。</font>	346185b2ae044f6289b801cac9a38373.m4a	1		也	<font size=12>也</font> (yě)|Mots associés :|也 [yě] aussi (phrase positive)
了|le|0	<size 1.7><center>了</center></size>	<font size=5>le|(particule de l'accompli)</font>|<font size=4><i>« &#69;&#115;&#116;-&#99;&#101; &#113;&#117;&#101; &#116;&#117; &#97;&#115; &#100;&#233;&#106;&#224; (&#102;&#105;&#110;&#105; &#100;&#101;) &#109;&#97;&#110;&#103;&#233; ? »</i></font>	d9180594744f870aeefb086982e980bb.m4a		|<font size=9>&#20320;&#21507;&#39277;<color yellow>&#20102;</color>&#21527;？</font>	9bdc0941f37069c9a7fc34ff6a2b5296.m4a	1		了	<font size=12>了</font> (le)|
二|èr|0	<size 1.7><center>二</center></size>	<font size=5>èr|deux (ordinal) (clé 7)</font>|<font size=4><i>« 2015 (&#97;&#110;&#110;&#233;&#101;) »</i></font>	78cf3bf5a3b50626da14bd52e07b8c5d.m4a	pic-hand2.jpg	|<font size=9><color yellow>&#20108;</color>&#38646;&#19968;&#20116;&#24180;</font>	7351ba7492dd07b3f2c8ca4d160f852e.m4a	1		二	<font size=12>二</font> (èr)|Mots associés :|星期二 [xīngqīèr] mardi
于|yú|0	<size 1.7><center>于</center></size>	<font size=5>yú|en (date)</font>|<font size=4><i>« &#74;&#101; &#115;&#117;&#105;&#115; &#110;&#233;(&#101;) &#108;&#101; 2 &#106;&#117;&#105;&#110; 1995. »</i></font>	3c1a51ae3914e799573a222656092adb.m4a		|<font size=9>&#25105;&#20986;&#29983;<color yellow>&#20110;</color>&#19968;&#20061;&#20061;&#20116;&#24180;&#20845;&#26376;&#20108;&#26085;。</font>	9f2d544c328d1f6cc3f07bd42f5bb67d.m4a	1		于	<font size=12>于</font> (yú)|
五|wǔ|0	<size 1.7><center>五</center></size>	<font size=5>wǔ|</font>|<font size=4><i>« 2015 (&#97;&#110;&#110;&#233;&#101;) »</i></font>	9ac619487a2e0f2b7739ef9e632a3e5a.m4a	pic-hand5.jpg	|<font size=9>&#20108;&#38646;&#19968;<color yellow>&#20116;</color>&#24180;</font>	7351ba7492dd07b3f2c8ca4d160f852e.m4a	1		五	<font size=12>五</font> (wǔ)|Mots associés :|星期五 [xīngqīwǔ] vendredi
人|rén|0	<size 1.7><center>人</center></size>	<font size=5>rén|une personne</font>|<font size=4><i>« &#84;&#117; &#101;&#115; &#100;&#101; &#113;&#117;&#101;&#108; &#112;&#97;&#121;&#115;? &#74;&#101; &#115;&#117;&#105;&#115; &#97;&#108;&#108;&#101;&#109;&#97;&#110;&#100;, &#101;&#116; &#116;&#111;&#105;? »</i></font>	9ed510416a5d2db2c34048455ac162f8.m4a		|<font size=9>&#20320;&#26159;&#21738;&#22269;<color yellow>&#20154;</color>？&#25105;&#26159;&#24503;&#22269;<color yellow>&#20154;</color>，&#20320;&#21602;？</font>	c35ed894c22a1c55ba2cc017aeda0573.m4a	1		人	<font size=12>人</font> (rén)|Mots associés :|家人　 [jiārén] membres de la fam…|法国人 [fǎguórén] français|中国人 [zhōngguórén] un Chinois|德国人 [déguórén] un Allemand
今天|jīntiān|0	<size 1.7><center>今天</center></size>	<font size=5>jīntiān|aujourd'hui</font>|<font size=4><i>« &#74;'&#97;&#105; &#100;&#117; &#116;&#101;&#109;&#112;&#115; &#108;&#105;&#98;&#114;&#101; &#97;&#117;&#106;&#111;&#117;&#114;&#100;'&#104;&#117;&#105;. »</i></font>	ae43a25746570de80711427d8d733a64.m4a		|<font size=9>&#25105;<color yellow>&#20170;&#22825;</color>&#26377;&#31354;。</font>	3f483ba1c62861271d5d7971fad24853.m4a	1		今天	<font size=12>今天</font> (jīntiān)||Mots associés :|今年 [jīnnián] cette année|天　 [tiān] jour, ciel|天空 [tiānkōng] le ciel|明天 [míngtiān] demain
今年|jīnnián|0	<size 1.7><center>今年</center></size>	<font size=5>jīnnián|cette année</font>|<font size=4><i>« &#67;&#101;&#116;&#116;&#101; &#97;&#110;&#110;&#233;&#101;, &#110;&#111;&#117;&#115; &#233;&#116;&#117;&#100;&#105;&#111;&#110;&#115; &#108;&#101; &#99;&#104;&#105;&#110;&#111;&#105;&#115; &#224; &#108;'&#73;&#83;&#70;&#65;&#84;&#69;&#83;. »</i></font>	51053a50b77a3ff5a1d1d86ef9877bb6.m4a		|<font size=9><color yellow>&#20170;&#24180;</color>&#25105;&#20204;&#22312;&#27861;&#24503;&#23398;&#38498;&#23398;&#20013;&#25991;。</font>	bf3e3e36439e2de5b970865e91a8a8db.m4a	1		今年	<font size=12>今年</font> (jīnnián)||Mots associés :|今天 [jīntiān] aujourd'hui|明年 [míngnián] l'année prochain…|年　 [nián] année
他|tā|0	<size 1.7><center>他</center></size>	<font size=5>tā|il, lui</font>|<font size=4><i>« &#83;&#97; (&#112;&#101;&#116;&#105;&#116;&#101;) &#115;&#339;&#117;&#114; &#106;&#117;&#109;&#101;&#108;&#108;&#101; &#110;'&#97; &#112;&#97;&#115; &#100;&#101; &#116;&#114;&#97;&#118;&#97;&#105;&#108;, &#101;&#108;&#108;&#101; &#101;&#115;&#116; &#233;&#116;&#117;&#100;&#105;&#97;&#110;&#116;&#101;. »</i></font>	a9d2b00eace06e701519fe9966e7e16d.m4a		|<font size=9><color yellow>&#20182;</color>&#30340;&#21452;&#32990;&#32974;&#22969;&#22969;&#27809;&#26377;&#24037;&#20316;，&#22905;&#26159;&#22823;&#23398;&#29983;。</font>	39794e975b850ea5bafefe7f5d8bb634.m4a	1		他	<font size=12>他</font> (tā)|Mots associés :|他们的 [tāmende] leur (possesseur…|他的　 [tāde] son…|他们　 [tāmen] ils, eux
他们|tāmen|0	<size 1.7><center>他们</center></size>	<font size=5>tāmen|ils, eux</font>|<font size=4><i>« &#73;&#108;&#115; &#115;&#111;&#110;&#116; &#99;&#104;&#101;&#122; &#117;&#110; &#97;&#109;&#105; &#102;&#114;&#97;&#110;&#231;&#97;&#105;&#115; (&#108;&#105;&#116;&#116;. &#100;&#97;&#110;&#115; &#108;&#97; &#109;&#97;&#105;&#115;&#111;&#110; &#100;'&#117;&#110; &#97;&#109;&#105; &#102;&#114;&#97;&#110;&#231;&#97;&#105;&#115;). »</i></font>	f7daacb838a7bb5b3a4c98ba10583881.m4a		|<font size=9><color yellow>&#20182;&#20204;</color>&#22312;&#19968;&#20010;&#27861;&#22269;&#26379;&#21451;&#30340;&#23478;&#37324;。</font>	e70ac0dec2366dc70408ec74e2da43ba.m4a	1		他们	<font size=12>他们</font> (tāmen)|Confusions possibles :|她们 [tāmen] elles|它们 [tāmen] ils, elles (neutre)||Mots associés :|他们的 [tāmende] leur (possesseur…|他的　 [tāde] son…|他　　 [tā] il, lui|它们　 [tāmen] ils…|你们的 [nǐmende] votre…|它们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos|们　　 [men] [suffixe du pluriel]|她们　 [tāmen] elles|她们的 [tāmende] leur (possesseur…|我们　 [wǒmen] nous|你们　 [nǐmen] vous (pluriel)
他们的|tāmende|0	<size 1.7><center>他们的</center></size>	<font size=5>tāmende|leur (possesseur masculin ou multiple)</font>|<font size=4><i>« &#73;&#108;&#115; &#115;&#111;&#110;&#116; &#226;&#103;&#233;&#115;. (&#108;&#105;&#116;&#116;. &#76;&#101;&#117;&#114; &#226;&#103;&#101; &#101;&#115;&#116; &#103;&#114;&#97;&#110;&#100; [&#97;&#118;&#97;&#110;&#99;&#233;]) »</i></font>	0c98d285db89031e631166531cee2d98.m4a		|<font size=9><color yellow>&#20182;&#20204;&#30340;</color>&#23681;&#25968;&#24456;&#22823;。</font>	59e29d41777e88c5c192f2ccda16f5f8.m4a	1		他们的	<font size=12>他们的</font> (tāmende)|Confusions possibles :|她们的 [tāmende] leur (possesseur…|它们的 [tāmende] leur (possesseur…||Mots associés :|他的　 [tāde] son…|他们　 [tāmen] ils, eux|他　　 [tā] il, lui|它们　 [tāmen] ils…|你们的 [nǐmende] votre…|它们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos|们　　 [men] [suffixe du pluriel]|她们　 [tāmen] elles|她们的 [tāmende] leur (possesseur…|我们　 [wǒmen] nous|你们　 [nǐmen] vous (pluriel)|的　　 [de] [particule reliant dé…|她的　 [tāde] son…|你的　 [nǐde] ton, tes|它的　 [tāde] son…|我的　 [wǒde] mon, mes
他的|tāde|0	<size 1.7><center>他的</center></size>	<font size=5>tāde|son, sa, ses (possesseur masculin)</font>|<font size=4><i>« &#83;&#97; (&#112;&#101;&#116;&#105;&#116;&#101;) &#115;&#339;&#117;&#114; &#106;&#117;&#109;&#101;&#108;&#108;&#101; &#110;'&#97; &#112;&#97;&#115; &#100;&#101; &#116;&#114;&#97;&#118;&#97;&#105;&#108;, &#101;&#108;&#108;&#101; &#101;&#115;&#116; &#233;&#116;&#117;&#100;&#105;&#97;&#110;&#116;&#101;. »</i></font>	c03e0bb39977e9d930508c6437ed7662.m4a		|<font size=9><color yellow>&#20182;&#30340;</color>&#21452;&#32990;&#32974;&#22969;&#22969;&#27809;&#26377;&#24037;&#20316;，&#22905;&#26159;&#22823;&#23398;&#29983;。</font>	39794e975b850ea5bafefe7f5d8bb634.m4a	1		他的	<font size=12>他的</font> (tāde)|Confusions possibles :|她的 [tāde] son…|它的 [tāde] son…||Mots associés :|他们的 [tāmende] leur (possesseur…|他们　 [tāmen] ils, eux|他　　 [tā] il, lui|的　　 [de] [particule reliant dé…|她的　 [tāde] son…|它们的 [tāmende] leur (possesseur…|你的　 [nǐde] ton, tes|它的　 [tāde] son…|你们的 [nǐmende] votre…|我的　 [wǒde] mon, mes|她们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos
们|men|0	<size 1.7><center>们</center></size>	<font size=5>men|[suffixe du pluriel]</font>|<font size=4><i>« &#77;&#101;&#115; &#233;&#116;&#117;&#100;&#105;&#97;&#110;&#116;&#115; &#115;&#111;&#110;&#116; &#97;&#108;&#108;&#101;&#109;&#97;&#110;&#100;&#115;. »</i></font>	d2fc17cc2feffa1de5217a3fd29e91e8.m4a		|<font size=9>&#25105;&#30340;&#23398;&#29983;<color yellow>&#20204;</color>&#26159;&#24503;&#22269;&#20154;。</font>	01054282c6906d46cc0583dc5f7722c6.m4a	1		们	<font size=12>们</font> (men)|Mots associés :|它们　 [tāmen] ils…|你们的 [nǐmende] votre…|它们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos|她们　 [tāmen] elles|他们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|他们　 [tāmen] ils, eux|我们　 [wǒmen] nous|你们　 [nǐmen] vous (pluriel)
你|nǐ|0	<size 1.7><center>你</center></size>	<font size=5>nǐ|tu, toi</font>|<font size=4><i>« &#77;&#101;&#114;&#99;&#105; [&#224; &#116;&#111;&#105;]. »</i></font>	bb8ed0ba847988a18752262f61e13223.m4a		|<font size=9>&#35874;&#35874;<color yellow>&#20320;</color>。</font>	9c5cbf5a9a1dcd3268d3c42322ee5691.m4a	1		你	<font size=12>你</font> (nǐ)|Mots associés :|你的　 [nǐde] ton, tes|你们　 [nǐmen] vous (pluriel)|你好　 [nǐhǎo] bonjour|你们的 [nǐmende] votre…
你们|nǐmen|0	<size 1.7><center>你们</center></size>	<font size=5>nǐmen|vous (pluriel)</font>|<font size=4><i>« &#86;&#111;&#117;&#115; [&#112;&#108;&#117;&#114;.] &#234;&#116;&#101;&#115; &#224; &#108;&#97; &#109;&#97;&#105;&#115;&#111;&#110;? »</i></font>	5a9b2d7ae1ee031ad6f2ee4b3e6c4bf7.m4a		|<font size=9><color yellow>&#20320;&#20204;</color>&#22312;&#23478;&#37324;&#21527;？</font>	4f83dce156e3b889787f0798ace6274b.m4a	1		你们	<font size=12>你们</font> (nǐmen)||Mots associés :|你的　 [nǐde] ton, tes|你　　 [nǐ] tu, toi|你好　 [nǐhǎo] bonjour|你们的 [nǐmende] votre…|它们　 [tāmen] ils…|它们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos|们　　 [men] [suffixe du pluriel]|她们　 [tāmen] elles|他们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|他们　 [tāmen] ils, eux|我们　 [wǒmen] nous
你们的|nǐmende|0	<size 1.7><center>你们的</center></size>	<font size=5>nǐmende|votre, vos (pluriel)</font>|<font size=4><i>« &#78;&#111;&#117;&#115; &#115;&#111;&#109;&#109;&#101;&#115; &#118;&#111;&#115; &#97;&#109;&#105;&#115; (&#97;&#100;&#114;&#101;&#115;&#115;&#233; &#224; &#112;&#108;&#117;&#115;&#105;&#101;&#117;&#114;&#115; &#112;&#101;&#114;&#115;&#111;&#110;&#110;&#101;&#115;). »</i></font>	30908d1f370126a076feed96b24f0d59.m4a		|<font size=9>&#25105;&#20204;&#26159;<color yellow>&#20320;&#20204;&#30340;</color>&#26379;&#21451;。</font>	d5bddeef88cab3f667fa8ef9f59aba93.m4a	1		你们的	<font size=12>你们的</font> (nǐmende)||Mots associés :|你的　 [nǐde] ton, tes|你　　 [nǐ] tu, toi|你们　 [nǐmen] vous (pluriel)|你好　 [nǐhǎo] bonjour|它们　 [tāmen] ils…|它们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos|们　　 [men] [suffixe du pluriel]|她们　 [tāmen] elles|他们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|他们　 [tāmen] ils, eux|我们　 [wǒmen] nous|的　　 [de] [particule reliant dé…|他的　 [tāde] son…|她的　 [tāde] son…|它的　 [tāde] son…|我的　 [wǒde] mon, mes
你好|nǐhǎo|0	<size 1.7><center>你好</center></size>	<font size=5>nǐhǎo|bonjour</font>|<font size=4><i>« &#66;&#111;&#110;&#106;&#111;&#117;&#114; [&#224; &#116;&#111;&#105;], &#106;&#101; &#109;'&#97;&#112;&#112;&#101;&#108;&#108;&#101; &#76;&#105;&#250; &#74;&#236;&#110;&#103;&#106;&#105;&#257;&#111;. »</i></font>	5acb47b87916e61ec5f1d72463a22d6b.m4a		|<font size=9><color yellow>&#20320;&#22909;</color>，&#25105;&#21483;&#21016;&#23143;&#23047;。</font>	e467bc18f40616ea5db7482331a8b249.m4a	1		你好	<font size=12>你好</font> (nǐhǎo)||Mots associés :|你的　 [nǐde] ton, tes|你　　 [nǐ] tu, toi|你们　 [nǐmen] vous (pluriel)|你们的 [nǐmende] votre…|大家好 [dàjiā hǎo] bonjour tout l…|好　　 [hǎo] (être) bien…|不好　 [bùhǎo] (être) mauvais…
你的|nǐde|0	<size 1.7><center>你的</center></size>	<font size=5>nǐde|ton, tes</font>|<font size=4><i>« &#74;&#101; &#115;&#117;&#105;&#115; &#116;&#111;&#110; &#97;&#109;&#105;(&#101;). »</i></font>	780a17b3dbc7bea39e4e6fa842dcc36a.m4a		|<font size=9>&#25105;&#26159;<color yellow>&#20320;&#30340;</color>&#26379;&#21451;。</font>	2cb8b11c20f4401e95ba564e85d0aa45.m4a	1		你的	<font size=12>你的</font> (nǐde)||Mots associés :|你　　 [nǐ] tu, toi|你们　 [nǐmen] vous (pluriel)|你好　 [nǐhǎo] bonjour|你们的 [nǐmende] votre…|的　　 [de] [particule reliant dé…|他的　 [tāde] son…|她的　 [tāde] son…|它们的 [tāmende] leur (possesseur…|它的　 [tāde] son…|他们的 [tāmende] leur (possesseur…|我的　 [wǒde] mon, mes|她们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos
