Text 1	Text 2	Picture 2	Text 3	Sound 3	Text 4	Sound 4	Category 1	Text 6	Text 5	Extra Info
中文|zhōngwén|0	<center><font size=5>la langue chinoise</font></center>|<font size=4><i>« &#78;&#111;&#117;&#115; &#97;&#112;&#112;&#114;&#101;&#110;&#111;&#110;&#115; &#108;&#101; &#99;&#104;&#105;&#110;&#111;&#105;&#115; &#224; &#108;’&#117;&#110;&#105;&#118;&#101;&#114;&#115;&#105;&#116;&#233;. »</i></font>		<center>中文|zhōngwén</center>	e61ad554c972e7978b7df24b34231fc4.m4a	|<font size=9>&#25105;&#20204;&#22312;&#22823;&#23398;&#23398;<color yellow>&#20013;&#25991;</color>。</font>	ccdc071a0747570f5bfaf9d7ae11295f.m4a	1		中文	<font size=12>中文</font> (zhōngwén)||Mots associés :|中国人 [zhōngguórén] un Chinois|中国　 [zhōngguó] la Chine|法文　 [fǎwén] la langue français…|文　　 [wén] culture,langue|德文　 [déwén] la langue allemand…
九|jiǔ|0	<center><font size=5></font></center>|<font size=4><i>« 19 &#111;&#99;&#116;&#111;&#98;&#114;&#101; 2015 »</i></font>	pic-hand9.jpg	<center>九|jiǔ</center>	5229c4adb511f5d9283621bbd19233ee.m4a	|<font size=9>&#20108;&#38646;&#19968;&#20116;&#24180;&#21313;&#26376;&#21313;<color yellow>&#20061;</color>&#26085;</font>	f3965389c1f5148ab6834da37278db0f.m4a	1		九	<font size=12>九</font> (jiǔ)|
二|èr|0	<center><font size=5>deux ordinal (clé 7)</font></center>|<font size=4><i>« 2015 (&#97;&#110;&#110;&#233;&#101;) »</i></font>	pic-hand2.jpg	<center>二|èr</center>	78cf3bf5a3b50626da14bd52e07b8c5d.m4a	|<font size=9><color yellow>&#20108;</color>&#38646;&#19968;&#20116;&#24180;</font>	7351ba7492dd07b3f2c8ca4d160f852e.m4a	1		二	<font size=12>二</font> (èr)|
于|yú|0	<center><font size=5>en (date)</font></center>|<font size=4><i>« &#74;&#101; &#115;&#117;&#105;&#115; &#110;&#233;(&#101;) &#108;&#101; 2 &#106;&#117;&#105;&#110; 1995. »</i></font>		<center>于|yú</center>	3c1a51ae3914e799573a222656092adb.m4a	|<font size=9>&#25105;&#20986;&#29983;<color yellow>&#20110;</color>&#19968;&#20061;&#20061;&#20116;&#24180;&#20845;&#26376;&#20108;&#26085;。</font>	9f2d544c328d1f6cc3f07bd42f5bb67d.m4a	1		于	<font size=12>于</font> (yú)|
五|wǔ|0	<center><font size=5></font></center>|<font size=4><i>« 2015 (&#97;&#110;&#110;&#233;&#101;) »</i></font>	pic-hand5.jpg	<center>五|wǔ</center>	9ac619487a2e0f2b7739ef9e632a3e5a.m4a	|<font size=9>&#20108;&#38646;&#19968;<color yellow>&#20116;</color>&#24180;</font>	7351ba7492dd07b3f2c8ca4d160f852e.m4a	1		五	<font size=12>五</font> (wǔ)|
人|rén|0	<center>une personne</center>		<center>人|rén</center>	9ed510416a5d2db2c34048455ac162f8.m4a			0		人	<font size=12>人</font> (rén)|Mots associés :|中国人 [zhōngguórén] un Chinois|家人　 [jiārén] membres de la fam…|德国人 [déguórén] allemand|法国人 [fǎguórén] français
他|tā|0	<font size=5>▸ [字] il, lui</font><color gray>|<font size=5>▸ [字] &#101;&#108;&#108;&#101;</font>|<font size=5>▸ [字] &#105;&#108;, &#101;&#108;&#108;&#101; (&#110;&#101;&#117;&#116;&#114;&#101;)</font></color>		<center>他|tā</center>	a9d2b00eace06e701519fe9966e7e16d.m4a			0	||<font size=4>▸ <font size=6>&#20182;</font> [tā] &#105;&#108;, &#108;&#117;&#105;|<color gray>▸ <font size=6>&#22905;</font> [tā] &#101;&#108;&#108;&#101;|▸ <font size=6>&#23427;</font> [tā] &#105;&#108;, &#101;&#108;&#108;&#101; (&#110;&#101;&#117;&#116;&#114;&#101;)</color></font>	他	<font size=12>他</font> (tā)|Mots associés :|他们的 [tāmende] leur (possesseur…|他们　 [tāmen] ils, eux|他的　 [tāde] son…
他们|tāmen|0	<font size=5>▸  ils, eux</font>|<font size=3><i>« &#73;&#108;&#115; &#115;&#111;&#110;&#116; &#99;&#104;&#101;&#122; &#117;&#110; &#97;&#109;&#105; &#102;&#114;&#97;&#110;&#231;&#97;&#105;&#115; (&#108;&#105;&#116;&#116;. &#100;&#97;&#110;&#115; &#108;&#97; &#109;&#97;&#105;&#115;&#111;&#110; &#100;'&#117;&#110; &#97;&#109;&#105; &#102;&#114;&#97;&#110;&#231;&#97;&#105;&#115;). »</i></font><color gray>|<font size=5>▸  &#105;&#108;&#115;, &#101;&#108;&#108;&#101;&#115; (&#110;&#101;&#117;&#116;&#114;&#101;)</font>|<font size=5>▸  &#101;&#108;&#108;&#101;&#115;</font>|<font size=3><i>« &#69;&#108;&#108;&#101;&#115; &#110;&#101; &#115;&#111;&#110;&#116; &#112;&#97;&#115; &#97;&#109;&#105;&#101;&#115;. »</i></font></color>		<center>他们|tāmen</center>	f7daacb838a7bb5b3a4c98ba10583881.m4a	|<font size=9><color yellow>&#20182;&#20204;</color>&#22312;&#19968;&#20010;&#27861;&#22269;&#26379;&#21451;&#30340;&#23478;&#37324;。</font>	e70ac0dec2366dc70408ec74e2da43ba.m4a	1	||<font size=4>▸ <font size=6>&#20182;&#20204;</font> [tāmen] &#105;&#108;&#115;, &#101;&#117;&#120;|<color gray>▸ <font size=6>&#23427;&#20204;</font> [tāmen] &#105;&#108;&#115;, &#101;&#108;&#108;&#101;&#115; (&#110;&#101;&#117;&#116;&#114;&#101;)|▸ <font size=6>&#22905;&#20204;</font> [tāmen] &#101;&#108;&#108;&#101;&#115;</color></font>	他们	<font size=12>他们</font> (tāmen)|Confusions possibles :|她们 [tāmen] elles|它们 [tāmen] ils, elles (neutre)||Mots associés :|他们的 [tāmende] leur (possesseur…|他的　 [tāde] son…|他　　 [tā] il, lui|们　　 [men] [suffixe du pluriel]|它们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|它们　 [tāmen] ils…|我们的 [wǒmende] notre, nos|我们　 [wǒmen] nous|你们的 [nǐmende] votre…|她们　 [tāmen] elles|你们　 [nǐmen] vous (pluriel)
他们的|tāmende|0	<center><font size=5>leur (possesseur masculin ou multiple)</font></center>|<font size=4><i>« &#73;&#108;&#115; &#115;&#111;&#110;&#116; &#226;&#103;&#233;&#115;. (&#108;&#105;&#116;&#116;. &#76;&#101;&#117;&#114; &#226;&#103;&#101; &#101;&#115;&#116; &#103;&#114;&#97;&#110;&#100; [&#97;&#118;&#97;&#110;&#99;&#233;]) »</i></font>		<center>他们的|tāmende</center>	0c98d285db89031e631166531cee2d98.m4a	|<font size=9><color yellow>&#20182;&#20204;&#30340;</color>&#23681;&#25968;&#24456;&#22823;。</font>	59e29d41777e88c5c192f2ccda16f5f8.m4a	1		他们的	<font size=12>他们的</font> (tāmende)|Confusions possibles :|她们的 [tāmende] leur (possesseur…|它们的 [tāmende] leur (possesseur…||Mots associés :|他们　 [tāmen] ils, eux|他的　 [tāde] son…|他　　 [tā] il, lui|们　　 [men] [suffixe du pluriel]|它们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|它们　 [tāmen] ils…|我们的 [wǒmende] notre, nos|我们　 [wǒmen] nous|你们的 [nǐmende] votre…|她们　 [tāmen] elles|你们　 [nǐmen] vous (pluriel)|它的　 [tāde] son…|的　　 [de] [particule reliant dé…|她的　 [tāde] son…|你的　 [nǐde] ton, tes|我的　 [wǒde] mon, mes
他的|tāde|0	<center>son, sa, ses (possesseur masculin)</center>		<center>他的|tāde</center>	c03e0bb39977e9d930508c6437ed7662.m4a			0		他的	<font size=12>他的</font> (tāde)|Confusions possibles :|她的 [tāde] son…|它的 [tāde] son…||Mots associés :|他们的 [tāmende] leur (possesseur…|他们　 [tāmen] ils, eux|他　　 [tā] il, lui|它的　 [tāde] son…|的　　 [de] [particule reliant dé…|她的　 [tāde] son…|她们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos|你的　 [nǐde] ton, tes|你们的 [nǐmende] votre…|它们的 [tāmende] leur (possesseur…|我的　 [wǒde] mon, mes
们|men|0	<center><font size=5>[suffixe du pluriel]</font></center>|<font size=4><i>« &#77;&#101;&#115; &#233;&#116;&#117;&#100;&#105;&#97;&#110;&#116;&#115; &#115;&#111;&#110;&#116; &#97;&#108;&#108;&#101;&#109;&#97;&#110;&#100;&#115;. »</i></font>		<center>们|men</center>	d2fc17cc2feffa1de5217a3fd29e91e8.m4a	|<font size=9>&#25105;&#30340;&#23398;&#29983;<color yellow>&#20204;</color>&#26159;&#24503;&#22269;&#20154;。</font>	01054282c6906d46cc0583dc5f7722c6.m4a	1		们	<font size=12>们</font> (men)|Mots associés :|它们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|它们　 [tāmen] ils…|他们　 [tāmen] ils, eux|我们的 [wǒmende] notre, nos|我们　 [wǒmen] nous|你们的 [nǐmende] votre…|她们　 [tāmen] elles|他们的 [tāmende] leur (possesseur…|你们　 [nǐmen] vous (pluriel)
你|nǐ|0	<center><font size=5>tu, toi</font></center>|<font size=4><i>« &#77;&#101;&#114;&#99;&#105; [&#224; &#116;&#111;&#105;]. »</i></font>		<center>你|nǐ</center>	bb8ed0ba847988a18752262f61e13223.m4a	|<font size=9>&#35874;&#35874;<color yellow>&#20320;</color>。</font>	9c5cbf5a9a1dcd3268d3c42322ee5691.m4a	1		你	<font size=12>你</font> (nǐ)|Mots associés :|你的　 [nǐde] ton, tes|你好　 [nǐhǎo] bonjour|你们　 [nǐmen] vous (pluriel)|你们的 [nǐmende] votre…
你们|nǐmen|0	<center><font size=5>vous (pluriel)</font></center>|<font size=4><i>« &#86;&#111;&#117;&#115; [&#112;&#108;&#117;&#114;.] &#234;&#116;&#101;&#115; &#224; &#108;&#97; &#109;&#97;&#105;&#115;&#111;&#110;? »</i></font>		<center>你们|nǐmen</center>	5a9b2d7ae1ee031ad6f2ee4b3e6c4bf7.m4a	|<font size=9><color yellow>&#20320;&#20204;</color>&#22312;&#23478;&#37324;&#21527;？</font>	4f83dce156e3b889787f0798ace6274b.m4a	1		你们	<font size=12>你们</font> (nǐmen)||Mots associés :|你的　 [nǐde] ton, tes|你好　 [nǐhǎo] bonjour|你们的 [nǐmende] votre…|你　　 [nǐ] tu, toi|们　　 [men] [suffixe du pluriel]|它们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|它们　 [tāmen] ils…|他们　 [tāmen] ils, eux|我们的 [wǒmende] notre, nos|我们　 [wǒmen] nous|她们　 [tāmen] elles|他们的 [tāmende] leur (possesseur…
你们的|nǐmende|0	<center><font size=5>votre, vos (pluriel)</font></center>|<font size=4><i>« &#78;&#111;&#117;&#115; &#115;&#111;&#109;&#109;&#101;&#115; &#118;&#111;&#115; &#97;&#109;&#105;&#115; (&#97;&#100;&#114;&#101;&#115;&#115;&#233; &#224; &#112;&#108;&#117;&#115;&#105;&#101;&#117;&#114;&#115; &#112;&#101;&#114;&#115;&#111;&#110;&#110;&#101;&#115;). »</i></font>		<center>你们的|nǐmende</center>	30908d1f370126a076feed96b24f0d59.m4a	|<font size=9>&#25105;&#20204;&#26159;<color yellow>&#20320;&#20204;&#30340;</color>&#26379;&#21451;。</font>	d5bddeef88cab3f667fa8ef9f59aba93.m4a	1		你们的	<font size=12>你们的</font> (nǐmende)||Mots associés :|你的　 [nǐde] ton, tes|你好　 [nǐhǎo] bonjour|你们　 [nǐmen] vous (pluriel)|你　　 [nǐ] tu, toi|们　　 [men] [suffixe du pluriel]|它们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|它们　 [tāmen] ils…|他们　 [tāmen] ils, eux|我们的 [wǒmende] notre, nos|我们　 [wǒmen] nous|她们　 [tāmen] elles|他们的 [tāmende] leur (possesseur…|它的　 [tāde] son…|的　　 [de] [particule reliant dé…|他的　 [tāde] son…|她的　 [tāde] son…|我的　 [wǒde] mon, mes
你好|nǐhǎo|0	<font size=5>▸  bonjour</font>|<font size=3><i>« &#66;&#111;&#110;&#106;&#111;&#117;&#114; [&#224; &#116;&#111;&#105;], &#106;&#101; &#109;'&#97;&#112;&#112;&#101;&#108;&#108;&#101; &#76;&#105;&#250; &#74;&#236;&#110;&#103;&#106;&#105;&#257;&#111;. »</i></font><color gray>|<font size=5>▸  &#98;&#111;&#110;&#106;&#111;&#117;&#114; &#116;&#111;&#117;&#116; &#108;&#101; &#109;&#111;&#110;&#100;&#101;</font>|<font size=3><i>« &#66;&#111;&#110;&#106;&#111;&#117;&#114; &#116;&#111;&#117;&#116; &#108;&#101; &#109;&#111;&#110;&#100;&#101;, &#106;&#101; &#115;&#117;&#105;&#115; &#76;&#105;&#250; &#74;&#236;&#110;&#103;&#106;&#105;&#257;&#111;. »</i></font></color>		<center>你好|nǐhǎo</center>	5acb47b87916e61ec5f1d72463a22d6b.m4a	|<font size=9><color yellow>&#20320;&#22909;</color>，&#25105;&#21483;&#21016;&#23143;&#23047;。</font>	e467bc18f40616ea5db7482331a8b249.m4a	1	||<font size=4>▸ <font size=6>&#20320;&#22909;</font> [nǐhǎo] &#98;&#111;&#110;&#106;&#111;&#117;&#114;|<color gray>▸ <font size=6>&#22823;&#23478;&#22909;</font> [dàjiā hǎo] &#98;&#111;&#110;&#106;&#111;&#117;&#114; &#116;&#111;&#117;&#116; &#108;&#101; &#109;&#111;&#110;&#100;&#101;</color></font>	你好	<font size=12>你好</font> (nǐhǎo)||Mots associés :|你的　 [nǐde] ton, tes|你们　 [nǐmen] vous (pluriel)|你们的 [nǐmende] votre…|你　　 [nǐ] tu, toi|大家好 [dàjiā hǎo] bonjour tout l…|不好　 [bùhǎo] (être) mauvais…|好　　 [hǎo] (être) bien…
你的|nǐde|0	<center><font size=5>ton, tes</font></center>|<font size=4><i>« &#74;&#101; &#115;&#117;&#105;&#115; &#116;&#111;&#110; &#97;&#109;&#105;(&#101;). »</i></font>		<center>你的|nǐde</center>	780a17b3dbc7bea39e4e6fa842dcc36a.m4a	|<font size=9>&#25105;&#26159;<color yellow>&#20320;&#30340;</color>&#26379;&#21451;。</font>	2cb8b11c20f4401e95ba564e85d0aa45.m4a	1		你的	<font size=12>你的</font> (nǐde)||Mots associés :|你好　 [nǐhǎo] bonjour|你们　 [nǐmen] vous (pluriel)|你们的 [nǐmende] votre…|你　　 [nǐ] tu, toi|它的　 [tāde] son…|的　　 [de] [particule reliant dé…|他的　 [tāde] son…|她的　 [tāde] son…|她们的 [tāmende] leur (possesseur…|他们的 [tāmende] leur (possesseur…|我们的 [wǒmende] notre, nos|它们的 [tāmende] leur (possesseur…|我的　 [wǒde] mon, mes
八|bā|0	<center>(clé 12)</center>	pic-hand8.jpg	<center>八|bā</center>	3b52cd47c585461ebdd3d42342fcd88d.m4a			0		八	<font size=12>八</font> (bā)|
六|liù|0	<center></center>	pic-hand6.jpg	<center>六|liù</center>	080327981402a9c39ba4f1f86227374b.m4a			0		六	<font size=12>六</font> (liù)|
再|zài|0	<center>encore (dans l'avenir)</center>		<center>再|zài</center>	417dcf99eb00088566f3fc39c5da1019.m4a			0		再	<font size=12>再</font> (zài)|Mots associés :|再见 [zàijiàn] au revoir
再见|zàijiàn|0	<font size=5>▸  au revoir</font><color gray>|<font size=5>▸  &#98;&#121;&#101;-&#98;&#121;&#101; (&#99;&#104;&#97;&#116;) [&#116;&#114;&#97;&#110;&#115;&#108;&#105;&#116;&#116;., &#112;&#108;&#97;&#105;&#115;&#97;&#110;&#116;.]</font></color>		<center>再见|zàijiàn</center>	1dda2c618010a0bdee9c28c14b3f3a96.m4a			0	||<font size=4>▸ <font size=6>&#20877;&#35265;</font> [zàijiàn] &#97;&#117; &#114;&#101;&#118;&#111;&#105;&#114;|<color gray>▸ <font size=6>88</font> [bāba] &#98;&#121;&#101;-&#98;&#121;&#101; (&#99;&#104;&#97;&#116;) [&#116;&#114;&#97;&#110;&#115;&#108;&#105;&#116;&#116;., &#112;&#108;&#97;&#105;&#115;&#97;&#110;&#116;.]</color></font>	再见	<font size=12>再见</font> (zàijiàn)||Mots associés :|再 [zài] encore (dans l'avenir)|见 [jiàn] voir
几|jǐ|0	<font size=5>▸ [字] combien? (petit nombre)</font>|<font size=3><i>« &#84;&#117; &#97;&#115; &#113;&#117;&#101;&#108; &#226;&#103;&#101;? (&#102;&#97;&#109;&#105;&#108;&#105;&#101;&#114;, &#111;&#117; &#101;&#110;&#102;&#97;&#110;&#116;) »</i></font><color gray>|<font size=5>▸  &#99;&#111;&#109;&#98;&#105;&#101;&#110; (&#112;&#101;&#116;&#105;&#116; &#110;&#111;&#109;&#98;&#114;&#101;)</font>|<font size=3><i>« &#73;&#108; &#121; &#97; &#99;&#111;&#109;&#98;&#105;&#101;&#110; &#100;&#101; &#112;&#101;&#114;&#115;&#111;&#110;&#110;&#101;&#115; &#100;&#97;&#110;&#115; &#116;&#97; &#102;&#97;&#109;&#105;&#108;&#108;&#101; ? »</i></font></color>		<center>几|jǐ</center>	190036b16b6d5598d8f8e70524e7c63b.m4a	|<font size=9>&#20320;<color yellow>&#20960;</color>&#23681;？</font>	9a0fed8a53a14960096365d88a0e5c13.m4a	1	||<font size=4>▸ <font size=6>&#20960;</font> [jǐ] &#99;&#111;&#109;&#98;&#105;&#101;&#110;? (&#112;&#101;&#116;&#105;&#116; &#110;&#111;&#109;&#98;&#114;&#101;)|<color gray>▸ <font size=6>&#20960;&#20010;</font> [jǐgè] &#99;&#111;&#109;&#98;&#105;&#101;&#110; (&#112;&#101;&#116;&#105;&#116; &#110;&#111;&#109;&#98;&#114;&#101;)</color></font>	几	<font size=12>几</font> (jǐ)|Mots associés :|几个 [jǐgè] combien (petit nombr…
几个|jǐgè|0	<font size=5>▸  combien (petit nombre)</font>|<font size=3><i>« &#73;&#108; &#121; &#97; &#99;&#111;&#109;&#98;&#105;&#101;&#110; &#100;&#101; &#112;&#101;&#114;&#115;&#111;&#110;&#110;&#101;&#115; &#100;&#97;&#110;&#115; &#116;&#97; &#102;&#97;&#109;&#105;&#108;&#108;&#101; ? »</i></font><color gray>|<font size=5>▸ [字] &#99;&#111;&#109;&#98;&#105;&#101;&#110;? (&#112;&#101;&#116;&#105;&#116; &#110;&#111;&#109;&#98;&#114;&#101;)</font>|<font size=3><i>« &#84;&#117; &#97;&#115; &#113;&#117;&#101;&#108; &#226;&#103;&#101;? (&#102;&#97;&#109;&#105;&#108;&#105;&#101;&#114;, &#111;&#117; &#101;&#110;&#102;&#97;&#110;&#116;) »</i></font></color>		<center>几个|jǐgè</center>	2002d30172707007ddf84747f6b550fb.m4a	|<font size=9>&#20320;&#30340;&#23478;&#37324;&#26377;<color yellow>&#20960;&#20010;</color>&#20154;？</font>	868e30f7b6c9bafca03416ed837960d6.m4a	1	||<font size=4>▸ <font size=6>&#20960;&#20010;</font> [jǐgè] &#99;&#111;&#109;&#98;&#105;&#101;&#110; (&#112;&#101;&#116;&#105;&#116; &#110;&#111;&#109;&#98;&#114;&#101;)|<color gray>▸ <font size=6>&#20960;</font> [jǐ] &#99;&#111;&#109;&#98;&#105;&#101;&#110;? (&#112;&#101;&#116;&#105;&#116; &#110;&#111;&#109;&#98;&#114;&#101;)</color></font>	几个	<font size=12>几个</font> (jǐgè)||Mots associés :|几　　 [jǐ] combien? (petit nombr…|十个月 [shígèyuè] dix mois|个　　 [gè] {spécificatif général…
出生|chūshēng|0	<center><font size=5>naître</font></center>|<font size=4><i>« &#74;&#101; &#115;&#117;&#105;&#115; &#110;&#233;(&#101;) &#108;&#101; 2 &#106;&#117;&#105;&#110; 1995. »</i></font>		<center>出生|chūshēng</center>	f034418a25305db8f5827f21b3aa0751.m4a	|<font size=9>&#25105;<color yellow>&#20986;&#29983;</color>&#20110;&#19968;&#20061;&#20061;&#20116;&#24180;&#20845;&#26376;&#20108;&#26085;。</font>	9f2d544c328d1f6cc3f07bd42f5bb67d.m4a	1		出生	<font size=12>出生</font> (chūshēng)||Mots associés :|大学生 [dàxuéshēng] étudiant(e)|生日　 [shēngrì] date de naissanc…|学生　 [xuéshéng] étudiant, élève
十|shí|0	<center><font size=5>(clé 24)</font></center>|<font size=4><i>« 19 &#111;&#99;&#116;&#111;&#98;&#114;&#101; 2015 »</i></font>	pic-hand10.jpg	<center>十|shí</center>	9fc4642cde210842bd0f308e24448775.m4a	|<font size=9>&#20108;&#38646;&#19968;&#20116;&#24180;<color yellow>&#21313;</color>&#26376;<color yellow>&#21313;</color>&#20061;&#26085;</font>	f3965389c1f5148ab6834da37278db0f.m4a	1		十	<font size=12>十</font> (shí)|Mots associés :|十个月 [shígèyuè] dix mois|十月　 [shíyuè] octobre
十个月|shígèyuè|0	<center>dix mois</center>		<center>十个月|shígèyuè</center>	b91673cdf625f0c79bdd3076e83a70c2.m4a			0		十个月	<font size=12>十个月</font> (shígèyuè)||Mots associés :|十　 [shí] (clé 24)|十月 [shíyuè] octobre|几个 [jǐgè] combien (petit nombr…|个　 [gè] {spécificatif général}|月　 [yuè] mois, lune
十月|shíyuè|0	<center><font size=5>octobre</font></center>|<font size=4><i>« 19 &#111;&#99;&#116;&#111;&#98;&#114;&#101; 2015 »</i></font>		<center>十月|shíyuè</center>	40430ae94ddc022adf1f8b2b4c206010.m4a	|<font size=9>&#20108;&#38646;&#19968;&#20116;&#24180;<color yellow>&#21313;&#26376;</color>&#21313;&#20061;&#26085;</font>	f3965389c1f5148ab6834da37278db0f.m4a	1		十月	<font size=12>十月</font> (shíyuè)||Mots associés :|十个月 [shígèyuè] dix mois|十　　 [shí] (clé 24)|月　　 [yuè] mois, lune
叫|jiào|0	<center><font size=5>s'appeler</font></center>|<font size=4><i>« &#66;&#111;&#110;&#106;&#111;&#117;&#114; [&#224; &#116;&#111;&#105;], &#106;&#101; &#109;'&#97;&#112;&#112;&#101;&#108;&#108;&#101; &#76;&#105;&#250; &#74;&#236;&#110;&#103;&#106;&#105;&#257;&#111;. »</i></font>		<center>叫|jiào</center>	ea5a1b74a047bfbb5cd63ca59fb4f38b.m4a	|<font size=9>&#20320;&#22909;，&#25105;<color yellow>&#21483;</color>&#21016;&#23143;&#23047;。</font>	e467bc18f40616ea5db7482331a8b249.m4a	1		叫	<font size=12>叫</font> (jiào)|
